Symbol,ATM Straddle %,Open,High,Low,Close,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Sector,Price,Price Chg %,OI,PCR,Bldp,Price.1,Price Chg.1,Price Chg%.1,OI Chg.1,OI Chg %.1,Bldp.1,Price.2,Price Chg.2,Price Chg%.2,OI Chg.2,OI Chg %.2,Bldp.2,Price.3,Price Chg.3,Price Chg%.3,OI Chg.3,OI Chg %.3,Bldp.3,Fut OI,Fut OI Chg,Fut OI Chg %,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Sector Name,Adv/ Dec/ Unchg,Price Chg %,Volume Chg %,OI Chg %,Rollover (%),Buildup,Tol CE OI Chg,Tol PE OI Chg,Tol PE-CE OI Chg,Tol PE-CE OI Chg %,Price chg,OI chg,OI Chg (Value),Volume,Volume Chg %
360ONE,5.24,1168.8,1171.6,1163.4,1168.2,0.6,0.05,0.05,0.15,17,0.21,0.01,1.69,6.0,0.16,11.0,0.48,5,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABB,4.88,7671.0,7724.0,7641.0,7648.5,-32.5,-0.42,0.92,3.07,8,0.05,0.0,0.0,35.0,0.24,34.0,0.41,-1,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,4.73,410.9,410.9,407.0,407.5,-3.8,-0.92,0.15,0.51,46,0.37,0.0,0.0,2.0,0.03,-3.0,-0.06,-5,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENSOL,5.5,1666.0,1677.2,1649.0,1650.0,15.1,0.92,3.37,10.75,52,0.18,-0.04,-7.14,634.0,10.17,66.0,1.89,-568,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENT,5.36,3074.0,3075.0,3015.0,3016.9,-4.7,-0.16,3.6,11.98,362,0.71,-0.1,-13.51,2254.0,14.95,-58.0,-0.52,-2312,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIGREEN,6.03,1411.9,1414.8,1369.3,1372.4,-0.5,-0.04,4.18,12.36,506,1.13,-0.07,-12.5,2127.0,14.67,-95.0,-1.16,-2222,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,4.05,1701.0,1709.9,1685.4,1687.9,1.5,0.09,0.89,3.6,136,0.32,-0.01,-1.72,660.0,2.25,14.0,0.08,-646,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPOWER,5.72,214.0,214.7,210.6,210.79,-1.13,-0.53,2.81,8.4,357,0.81,-0.03,-5.36,833.0,6.05,23.0,0.3,-810,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALKEM,4.65,5578.5,5578.5,5537.5,5541.5,1,0.02,-1.21,-3.26,-24,-0.21,0.0,0.0,-33.0,-0.76,-6.0,-0.22,27,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBER,6.71,7090.0,7154.5,7026.0,7129.0,80,1.13,-0.35,-0.81,-31,-0.22,0.01,1.11,-77.0,-0.53,57.0,0.43,134,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,4.12,436.0,436.05,431.45,431.7,-1.15,-0.27,0.45,1.76,77,0.11,-0.01,-1.61,115.0,0.87,31.0,0.38,-84,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGELONE,5.83,295.85,297.85,293.8,296.3,1.5,0.51,-0.57,-1.52,16,0.14,0.0,0.0,134.0,1.2,95.0,1.76,-39,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,3.91,2018.4,2018.4,1999.6,2010.2,-3.5,-0.17,-0.67,-2.64,14,0.09,-0.01,-1.23,131.0,2.22,37.0,0.77,-94,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOLLOHOSP,4.44,8980.0,8985.0,8920.5,8923.0,-17.5,-0.2,0.36,1.3,0,0.0,-0.01,-1.52,164.0,1.84,20.0,0.34,-144,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHOKLEY,5.9,173.61,173.7,172.5,173.15,-1.76,-1.01,0.4,1.08,155,0.56,0.0,0.0,211.0,1.65,144.0,1.28,-67,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIANPAINT,3.53,2751.0,2754.5,2739.1,2747.7,-13.7,-0.5,0.61,2.8,9,0.03,0.0,0.0,44.0,0.22,102.0,0.76,58,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTRAL,5.97,1441.2,1441.2,1418.2,1420.8,-19.1,-1.33,1.11,3.02,30,0.18,-0.04,-5.26,216.0,4.52,-20.0,-0.55,-236,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,3.85,1071.5,1071.5,1060.2,1060.7,-13,-1.21,0.25,1.03,-6,-0.03,-0.01,-1.49,66.0,0.89,-21.0,-0.42,-87,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUROPHARMA,4.29,1643.6,1654.9,1643.6,1652.6,7.1,0.43,0.43,1.61,31,0.16,-0.01,-1.43,63.0,0.84,-3.0,-0.06,-66,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISBANK,3.03,1247.0,1247.0,1239.0,1239.2,-12.6,-1.01,0.34,1.8,83,0.06,0.0,0.0,453.0,1.39,162.0,0.75,-291,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJ-AUTO,3.63,11738.0,11843.0,11728.0,11843.0,111,0.95,0.86,3.88,119,0.48,0.04,2.4,-33.0,-0.21,625.0,2.34,658,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,3.52,2025.4,2025.4,2017.3,2021.5,-10.6,-0.52,1.03,4.83,34,0.14,0.0,0.0,63.0,0.23,70.0,0.47,7,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJHLDNG,4.19,11470.0,11494.0,11425.0,11464.0,13,0.11,-0.57,-2.1,4,0.09,-0.02,-1.79,3.0,0.29,-10.0,-0.87,-13,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,4.11,1100.0,1100.1,1091.0,1092.8,-12.2,-1.1,0.44,1.72,208,0.29,-0.01,-1.39,685.0,1.95,89.0,0.35,-596,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDHANBNK,4.15,171.18,171.84,170.01,171.84,-0.79,-0.46,5.45,25.36,-2,-0.01,0.0,0.0,-17.0,-0.11,6.0,0.07,23,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKBARODA,4.05,247.0,247.02,244.87,246.8,-0.78,-0.32,0.11,0.43,143,0.32,0.0,0.0,85.0,0.54,12.0,0.09,-73,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKEX,2.28,65474.45,65475.0,65474.45,65475.0,-,-,0.6,4.57,1,25.0,0.02,2.27,-23.0,-3.02,-6.0,-0.89,17,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKINDIA,4.95,140.64,140.9,140.03,140.39,-1.21,-0.85,0.02,0.06,65,0.37,0.0,0.0,48.0,0.69,26.0,0.44,-22,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKNIFTY,2.11,57750.0,57787.8,57507.0,57569.8,-302.8,-0.52,0.36,2.77,659,0.96,-0.03,-3.49,13609.0,2.92,1267.0,0.32,-12342,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDL,6.98,1320.0,1321.8,1306.0,1307.0,-8.1,-0.62,0.53,1.21,36,0.23,0.0,0.0,-30.0,-0.38,45.0,0.73,75,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,3.9,405.7,407.0,403.3,403.45,-0.65,-0.16,0.52,2.16,36,0.05,0.0,0.0,-77.0,-0.2,7.0,0.03,84,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-11 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
